,City1_State,City1,City2_State,City2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
981,Western Australia,PERTH,New South Wales,SYDNEY,31352,14435,119,80.6,3284,47404540.0,58814566.0,17909,1985,11
982,Queensland,SUNSHINE COAST,Victoria,MELBOURNE,31352,1010,26,70.6,1454,1468540.0,2080085.0,1431,1985,11
983,Queensland,SUNSHINE COAST,New South Wales,SYDNEY,31352,5199,119,69.5,837,4351563.0,6261242.0,7481,1985,11
984,New South Wales,SYDNEY,Queensland,TOWNSVILLE,31352,6692,79,81.6,1690,11309480.0,13859657.0,8201,1985,11
985,New South Wales,SYDNEY,New South Wales,WAGGA WAGGA,31352,5334,160,64.4,367,1957578.0,3039717.0,8283,1985,11
986,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,31382,13408,131,69.5,1316,17644928.0,25388386.0,19292,1985,12
987,South Australia,ADELAIDE,Queensland,BRISBANE,31382,3888,40,81.1,1622,6306336.0,7776000.0,4794,1985,12
988,South Australia,ADELAIDE,Queensland,CANBERRA,31382,2550,30,74.3,972,2478600.0,3335935.0,3432,1985,12
989,South Australia,ADELAIDE,Northern Territory,DARWIN,31382,3562,38,62.1,2619,9328878.0,15022348.0,5736,1985,12
990,South Australia,ADELAIDE,Northern Territory,GOLD COAST,31382,880,14,65.3,1607,1414160.0,2165636.0,1348,1985,12
991,South Australia,ADELAIDE,Victoria,MELBOURNE,31382,56083,641,67.3,643,36061369.0,53583015.0,83333,1985,12
992,South Australia,ADELAIDE,Western Australia,PERTH,31382,18889,149,81.1,2120,40044680.0,49376917.0,23291,1985,12
993,South Australia,ADELAIDE,New South Wales,SYDNEY,31382,36798,374,74.4,1167,42943266.0,57719444.0,49460,1985,12
994,South Australia,ALBURY,New South Wales,SYDNEY,31382,14616,362,72.1,452,6606432.0,9162874.0,20272,1985,12
995,Northern Territory,ALICE SPRINGS,Northern Territory,DARWIN,31382,9969,117,58.8,1305,13009545.0,22125077.0,16954,1985,12
996,Northern Territory,ALICE SPRINGS,New South Wales,SYDNEY,31382,4730,57,64.5,2022,9564060.0,14828000.0,7333,1985,12
997,Queensland,BRISBANE,Queensland,CAIRNS,31382,2369,35,64.2,1391,3295279.0,5132833.0,3690,1985,12
998,Queensland,BRISBANE,Queensland,CANBERRA,31382,505,6,77,956,482780.0,626987.0,656,1985,12
999,Queensland,BRISBANE,Northern Territory,DARWIN,31382,4709,49,61.3,2852,13430068.0,21908757.0,7682,1985,12
1000,Queensland,BRISBANE,Queensland,MACKAY,31382,1945,28,76.2,797,1550165.0,2034337.0,2552,1985,12
